segment,sentence,classification
10,Not many people were born a day any more.,1
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1
23,Aging had touched him that much before the cure for aging was found.,1
38,The orderly looked in at the mural and the muralist.,1
48,"All blanks were to be filled with portraits of important people on either the hospital staff or from the Chicago Office of the Federal Bureau of Termination.""",1
51,"You think I'm proud of this daub?"""" he said.",1
52,"You think this is my idea of what life really looks like?""""""",1
56,"Frame that, and you'll have a picture a damn sight more honest than this one.""""",1
60,"If you don't like it here, Grandpa—"""" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call.",1
63,"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?""",1
64,"""To be or not to be"" was the telephone number of the municipal gas chambers of the Federal Bureau of Termination.",1
67,"A do-it-yourselfer, eh?"""" said the orderly.",1
75,"A coarse, formidable woman strode into the waiting room on spike heels.",1
76,"Her shoes, stockings, trench coat, bag and overseas cap were all purple, the purple the painter called """"the color of grapes on Judgment Day.""""",1
77,"The medallion on her purple musette bag was the seal of the Service Division of the Federal Bureau of Termination, an eagle perched on a turnstile.",1
83,"They told me I was supposed to pose for some picture,"""" she said.",1
93,"Duncan, Duncan, Duncan,"""" he said, scanning the list.",1
94,Yes—here you are.,1
99,"Gee,"""" she said, """"they're all the same to me.",1
102,"As a master of fine art, I recommend this body here.""""",1
118,"""Ah, You... you admire him, eh?"" he said.",1
121,"Who doesn't admire him?"""" she said again.",1
122,"He was responsible for setting up the very first gas chamber in Chicago.""""""",1
129,"He was seven feet tall, and he boomed with importance, accomplishments, and the joy of living.",1
131,"Miss Duncan!"""" he said, and he made a joke.",1
136,"Good!"""" said Dr. Hitz heartily.",1
140,"Without women like you, this wonderful world we've got wouldn't be possible.""",1
145,"Triplets!"""" she said.",1
148,"Triplets, if they were all to live, called for three volunteers.",1
150,"""Last I heard,"" said Dr. Hitz, ""they had one, and were trying to scrape another two up.""",1
155,"Wehling,"""" said the waiting father, sitting up, red-eyed and frowzy.",1
156,"Edward K. Wehling, Jr., is the name of the happy father-to-be.""""",1
163,"I'm on my way in to see them now.""""",1
164,"""Hooray,"" said Wehling emptily.",1
166,"What man in my shoes wouldn't be happy?"""" said Wehling.",1
167,He gestured with his hands to symbolize care-free simplicity.,1
168,"All I have to do is pick out which one of the triplets is going to live, then deliver my maternal grandfather to the Happy Hooligan, and come back here with a receipt.""""",1
169,"Dr. Hitz became rather severe with Wehling, towered over him.",1
170,"You don't believe in population control, Mr. Wehling?"""" he said.",0
175,"A drupelet, Mr. Wehling, is one of the little knobs, one of the little pulpy grains of a blackberry,"""" said Dr. Hitz.",1
177,"Think of it!""""""",1
179,"""In the year 2000,"" said Dr. Hitz, ""before scientists stepped in and laid down the law, there wasn't even enough drinking water to go around, and nothing to eat but sea-weed—and still people insisted on their right to reproduce like jackrabbits.",1
180,"And their right, if possible, to live forever.""",1
184,"That's only human.""""",1
189,"I wish people wouldn't call it 'the Catbox,' and things like that,"""" she said.",1
192,"Forgive me.""""",0
194,"I should have said, 'Ethical Suicide Studios,'"""" he said.""",1
198,"In a garden like that mural there.""""",1
201,"Now centuries of peace and plenty stretch before us as far as the imagination cares to travel.""""",1
204,Wehling shot Dr. Hitz dead.,1
205,"There's room for one—a great big one,"" he said.",1
213,"The painter pondered the mournful puzzle of life demanding to be born and, once born, demanding to be fruitful ... to multiply and to live as long as possible—to do all that on a very small planet that would have to last forever.",1
214,All the answers that the painter could think of were grim.,1
215,"Even grimmer, surely, than a Catbox, a Happy Hooligan, an Easy Go.",1
224,And then he saw the telephone booth in the corner of the room.,0
230,"All right,"""" said the painter, """"fit me in, if you please.""""",1
233,"""Your city thanks you; your country thanks you; your planet thanks you.",1
