segment,sentence,classification
74,And then he fell silent again.,0
78,"The woman had a lot of facial hair—an unmistakable mustache, in fact.",1
101,"A body's a body, eh?"""" he said, ""All righty.",1
112,"How about her?"""" he said.",1
122,"He was responsible for setting up the very first gas chamber in Chicago.""""""",1
125,"That is kind of like what I do,"""" she said.",1
132,"What are you doing here?"""" he said.",0
156,"Edward K. Wehling, Jr., is the name of the happy father-to-be.""""",1
169,"Dr. Hitz became rather severe with Wehling, towered over him.",1
205,"There's room for one—a great big one,"" he said.",1
234,"But the deepest thanks of all is from future generations.""",1
